,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102,event_103,event_104,event_105,event_106,event_107,event_108,event_109,event_110,event_111,event_112,event_113,event_114,event_115,event_116,event_117,event_118,event_119,event_120,event_121,event_122,event_123,event_124,event_125,event_126,event_127,event_128,event_129,event_130,event_131,event_132,event_133,event_134,event_135,event_136,event_137,event_138,event_139,event_140,event_141,event_142,event_143,event_144,event_145,event_146,event_147,event_148,event_149,event_150,event_151,event_152,event_153,event_154,event_155,event_156,event_157,event_158,event_159,event_160,event_161,event_162,event_163,event_164,event_165,event_166,event_167,event_168,event_169,event_170,event_171,event_172,event_173,event_174,event_175,event_176,event_177,event_178,event_179,event_180,event_181,event_182,event_183,event_184,event_185,event_186,event_187,event_188,event_189,event_190,event_191,event_192,event_193,event_194,event_195,event_196,event_197,event_198,event_199,event_200
0,1.2,1.2,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.0,1.2,2.4,1.2,0.0,0.0,1.2,1.2,0.0,1.2,0.0,1.2,0.0,1.2,0.0,2.4,1.2,3.6,1.2,0.0,4.8,2.4,1.2,3.6,1.2,0.0,3.6,1.2,1.2,0.0,1.2,1.2,1.2,-1.2,1.2,-2.4,0.0,0.0,3.6,0.0,3.6,1.2,2.4,3.6,1.2,0.0,1.2,1.2,2.4,1.2,1.2,1.2,1.2,0.0,3.6,0.0,0.0,-2.4,1.2,0.0,0.0,1.2,-1.2,2.4,0.0,0.0,0.0,1.2,1.2,0.0,2.4,3.6,1.2,2.4,1.2,0.0,0.0,0.0,1.2,2.4,0.0,3.6,0.0,2.4,1.2,1.2,1.2,3.6,2.4,0.0,1.2,0.0,3.6,2.4,-1.2,2.4,0.0,0.0,-1.2,2.4,1.2,1.2,0.0,2.4,2.4,2.4,0.0,1.2,0.0,2.4,2.4,2.4,3.6,1.2,2.4,-1.2,1.2,2.4,1.2,1.2,0.0,3.6,1.2,1.2,1.2,0.0,1.2,1.2,3.6,2.4,2.4,3.6,2.4,1.2,1.2,1.2,2.4,1.2,0.0,1.2,0.0,-1.2,1.2,0.0,2.4,2.4,1.2,1.2,4.8,0.0,2.4,0.0,1.2,1.2,1.2,1.2,2.4,1.2,2.4,0.0,3.6,0.0,2.4,3.6,2.4,2.4,0.0,2.4,1.2,2.4,-1.2,2.4,1.2,1.2,2.4,2.4,-1.2,1.2,3.6,2.4,-1.2,2.4,0.0,0.0,2.4,2.4,1.2,-1.2,1.2,2.4,1.2,0.0
1,3.6,2.4,0.0,3.6,1.2,1.2,0.0,0.0,1.2,3.6,1.2,0.0,1.2,2.4,2.4,3.6,1.2,0.0,2.4,0.0,1.2,0.0,1.2,2.4,2.4,-1.2,0.0,1.2,3.6,0.0,3.6,1.2,3.6,2.4,0.0,1.2,0.0,-1.2,0.0,0.0,1.2,1.2,3.6,0.0,2.4,1.2,2.4,1.2,1.2,1.2,3.6,3.6,3.6,2.4,-1.2,2.4,1.2,1.2,1.2,1.2,2.4,1.2,4.8,1.2,3.6,1.2,0.0,2.4,1.2,1.2,3.6,3.6,2.4,1.2,1.2,1.2,-1.2,1.2,2.4,2.4,0.0,2.4,1.2,2.4,4.8,0.0,0.0,0.0,4.8,3.6,1.2,1.2,1.2,4.8,2.4,2.4,3.6,2.4,3.6,0.0,-1.2,1.2,1.2,1.2,0.0,1.2,1.2,-1.2,3.6,1.2,2.4,1.2,0.0,2.4,2.4,2.4,0.0,0.0,1.2,3.6,2.4,0.0,1.2,-1.2,2.4,2.4,1.2,2.4,2.4,1.2,1.2,0.0,1.2,0.0,0.0,1.2,2.4,-1.2,0.0,1.2,1.2,2.4,-1.2,0.0,1.2,2.4,-1.2,1.2,3.6,0.0,-1.2,0.0,1.2,1.2,2.4,0.0,1.2,2.4,1.2,3.6,1.2,2.4,1.2,1.2,1.2,2.4,1.2,3.6,2.4,2.4,0.0,0.0,2.4,2.4,0.0,1.2,3.6,1.2,3.6,0.0,0.0,1.2,2.4,3.6,1.2,0.0,0.0,2.4,1.2,1.2,1.2,1.2,2.4,3.6,2.4,2.4,0.0,1.2,1.2,0.0,3.6
2,1.2,1.2,2.4,0.0,0.0,0.0,2.4,1.2,-1.2,2.4,-1.2,1.2,1.2,2.4,0.0,1.2,0.0,3.6,2.4,2.4,0.0,1.2,0.0,-1.2,-1.2,1.2,1.2,2.4,0.0,3.6,1.2,1.2,4.8,1.2,1.2,0.0,-2.4,0.0,2.4,0.0,1.2,0.0,1.2,0.0,2.4,0.0,1.2,2.4,1.2,1.2,1.2,1.2,3.6,1.2,1.2,1.2,3.6,1.2,1.2,3.6,2.4,1.2,3.6,0.0,0.0,0.0,1.2,3.6,1.2,2.4,1.2,2.4,1.2,1.2,0.0,1.2,1.2,-1.2,0.0,3.6,1.2,2.4,2.4,0.0,3.6,2.4,1.2,2.4,1.2,1.2,1.2,1.2,0.0,1.2,1.2,1.2,2.4,2.4,3.6,2.4,2.4,1.2,0.0,2.4,-2.4,0.0,2.4,3.6,-1.2,1.2,2.4,1.2,1.2,-1.2,1.2,-1.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.6,3.6,1.2,2.4,2.4,1.2,2.4,2.4,1.2,3.6,0.0,1.2,2.4,0.0,3.6,1.2,2.4,1.2,3.6,1.2,1.2,0.0,2.4,2.4,2.4,1.2,-2.4,1.2,1.2,2.4,1.2,2.4,1.2,2.4,0.0,3.6,5.999999999999999,1.2,3.6,3.6,1.2,0.0,1.2,-1.2,3.6,-1.2,1.2,3.6,3.6,4.8,2.4,1.2,1.2,2.4,0.0,1.2,1.2,2.4,0.0,1.2,1.2,-1.2,0.0,2.4,1.2,2.4,2.4,1.2,0.0,0.0,1.2,0.0,1.2,0.0,1.2
3,2.4,0.0,1.2,1.2,-1.2,3.6,1.2,-1.2,1.2,1.2,1.2,2.4,0.0,1.2,1.2,1.2,1.2,1.2,2.4,2.4,1.2,1.2,1.2,1.2,0.0,1.2,1.2,-1.2,1.2,1.2,1.2,2.4,0.0,2.4,3.6,1.2,1.2,0.0,3.6,2.4,0.0,-3.6,1.2,-2.4,2.4,1.2,0.0,2.4,2.4,0.0,2.4,0.0,2.4,0.0,3.6,-1.2,3.6,2.4,1.2,2.4,2.4,2.4,3.6,-1.2,1.2,0.0,0.0,1.2,1.2,-1.2,1.2,2.4,1.2,-1.2,2.4,-1.2,2.4,-1.2,1.2,3.6,1.2,0.0,1.2,1.2,3.6,1.2,2.4,0.0,1.2,0.0,3.6,3.6,-1.2,2.4,0.0,-1.2,2.4,1.2,-1.2,2.4,1.2,3.6,2.4,3.6,0.0,0.0,1.2,0.0,2.4,2.4,2.4,-1.2,2.4,0.0,0.0,2.4,1.2,0.0,0.0,0.0,0.0,1.2,1.2,-1.2,1.2,2.4,3.6,0.0,3.6,1.2,3.6,2.4,0.0,-1.2,0.0,2.4,3.6,-1.2,2.4,1.2,3.6,2.4,2.4,3.6,4.8,0.0,0.0,-1.2,1.2,0.0,2.4,0.0,-3.6,0.0,0.0,4.8,0.0,1.2,1.2,2.4,0.0,3.6,1.2,1.2,2.4,1.2,2.4,0.0,2.4,2.4,0.0,0.0,2.4,2.4,1.2,1.2,1.2,1.2,0.0,2.4,0.0,1.2,1.2,1.2,1.2,1.2,2.4,2.4,2.4,3.6,0.0,0.0,2.4,-1.2,2.4,0.0,0.0,3.6,0.0,-1.2,0.0
4,0.0,0.0,2.4,0.0,2.4,1.2,2.4,2.4,1.2,2.4,2.4,2.4,1.2,2.4,0.0,2.4,0.0,1.2,3.6,-1.2,2.4,4.8,3.6,1.2,2.4,0.0,3.6,0.0,2.4,1.2,0.0,3.6,2.4,2.4,2.4,3.6,0.0,1.2,0.0,1.2,0.0,2.4,2.4,1.2,-1.2,3.6,3.6,2.4,2.4,2.4,1.2,3.6,2.4,0.0,2.4,2.4,1.2,1.2,2.4,2.4,2.4,0.0,0.0,3.6,1.2,1.2,2.4,2.4,1.2,0.0,1.2,1.2,1.2,-1.2,1.2,2.4,0.0,1.2,2.4,4.8,2.4,1.2,0.0,-1.2,2.4,-1.2,2.4,3.6,-1.2,1.2,4.8,2.4,1.2,1.2,-1.2,-2.4,3.6,2.4,0.0,1.2,-1.2,0.0,0.0,2.4,2.4,0.0,1.2,1.2,1.2,3.6,0.0,3.6,0.0,1.2,0.0,1.2,-1.2,1.2,-1.2,2.4,3.6,0.0,3.6,0.0,-1.2,0.0,3.6,2.4,1.2,1.2,3.6,1.2,1.2,1.2,2.4,1.2,0.0,1.2,2.4,3.6,4.8,2.4,-1.2,1.2,1.2,3.6,1.2,1.2,1.2,1.2,0.0,1.2,1.2,4.8,1.2,2.4,0.0,1.2,2.4,5.999999999999999,1.2,2.4,1.2,4.8,2.4,1.2,0.0,2.4,1.2,0.0,0.0,3.6,1.2,0.0,2.4,1.2,1.2,1.2,2.4,1.2,3.6,2.4,2.4,2.4,1.2,0.0,-1.2,0.0,2.4,2.4,1.2,0.0,3.6,2.4,2.4,-1.2,1.2,1.2,0.0,0.0,2.4
5,0.0,0.0,-1.2,0.0,1.2,3.6,2.4,1.2,2.4,2.4,0.0,1.2,1.2,3.6,3.6,2.4,0.0,1.2,-1.2,0.0,3.6,2.4,0.0,1.2,0.0,0.0,0.0,1.2,4.8,0.0,2.4,-1.2,3.6,3.6,1.2,2.4,-1.2,2.4,0.0,0.0,-1.2,4.8,3.6,0.0,1.2,1.2,-1.2,1.2,0.0,-1.2,2.4,1.2,3.6,0.0,2.4,3.6,2.4,2.4,2.4,1.2,0.0,2.4,3.6,2.4,2.4,2.4,-1.2,1.2,1.2,2.4,2.4,3.6,3.6,3.6,4.8,3.6,2.4,1.2,2.4,3.6,1.2,1.2,0.0,2.4,3.6,2.4,2.4,1.2,2.4,3.6,2.4,1.2,2.4,1.2,0.0,-1.2,3.6,1.2,1.2,2.4,1.2,1.2,-1.2,0.0,1.2,0.0,1.2,3.6,3.6,0.0,3.6,1.2,0.0,3.6,0.0,2.4,1.2,0.0,1.2,1.2,0.0,1.2,-1.2,1.2,1.2,3.6,2.4,0.0,4.8,1.2,1.2,-2.4,-1.2,2.4,0.0,4.8,2.4,2.4,1.2,2.4,3.6,1.2,0.0,3.6,1.2,-1.2,0.0,2.4,0.0,2.4,1.2,1.2,0.0,3.6,2.4,1.2,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.4,0.0,3.6,1.2,2.4,1.2,2.4,0.0,1.2,2.4,3.6,3.6,1.2,1.2,1.2,0.0,3.6,2.4,1.2,-1.2,0.0,1.2,1.2,2.4,0.0,3.6,1.2,1.2,3.6,2.4,2.4,2.4,2.4,1.2,4.8
6,-1.2,3.6,0.0,-2.4,0.0,1.2,1.2,1.2,2.4,1.2,1.2,2.4,2.4,3.6,-1.2,-1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,2.4,0.0,3.6,0.0,4.8,2.4,0.0,2.4,0.0,2.4,2.4,1.2,0.0,0.0,2.4,0.0,3.6,-2.4,1.2,0.0,2.4,1.2,1.2,0.0,2.4,0.0,0.0,2.4,1.2,3.6,-3.6,1.2,3.6,2.4,0.0,0.0,0.0,-1.2,1.2,2.4,1.2,2.4,1.2,0.0,0.0,1.2,-1.2,3.6,1.2,0.0,0.0,0.0,3.6,3.6,2.4,0.0,2.4,2.4,2.4,1.2,2.4,0.0,4.8,2.4,0.0,2.4,2.4,2.4,0.0,0.0,-1.2,1.2,1.2,-1.2,2.4,2.4,1.2,0.0,-1.2,0.0,1.2,1.2,0.0,1.2,2.4,1.2,2.4,1.2,3.6,2.4,0.0,1.2,2.4,1.2,0.0,0.0,1.2,-1.2,1.2,0.0,1.2,2.4,3.6,1.2,1.2,1.2,2.4,1.2,2.4,-1.2,2.4,0.0,2.4,2.4,1.2,0.0,1.2,3.6,1.2,1.2,5.999999999999999,0.0,-1.2,2.4,1.2,0.0,2.4,0.0,0.0,1.2,1.2,-1.2,2.4,0.0,2.4,2.4,0.0,1.2,0.0,2.4,2.4,1.2,1.2,0.0,0.0,2.4,1.2,2.4,0.0,1.2,2.4,1.2,0.0,0.0,1.2,1.2,2.4,1.2,2.4,1.2,3.6,0.0,0.0,2.4,1.2,1.2,0.0,0.0,2.4,1.2,1.2,-1.2,2.4,2.4,3.6,0.0,0.0,1.2
7,0.0,-10.8,-1.2,-1.2,0.0,0.0,3.6,-2.4,1.2,0.0,-2.4,0.0,-1.2,-1.2,0.0,-1.2,1.2,-2.4,1.2,-2.4,-4.8,1.2,0.0,0.0,0.0,0.0,0.0,-2.4,-2.4,0.0,1.2,-2.4,-1.2,1.2,0.0,-1.2,0.0,1.2,1.2,0.0,-1.2,2.4,-2.4,-2.4,-2.4,-3.6,-2.4,-2.4,-1.2,-2.4,1.2,-3.6,0.0,-9.6,-1.2,-2.4,0.0,-1.2,1.2,-3.6,1.2,-2.4,2.4,0.0,1.2,-7.2,-3.6,-1.2,2.4,0.0,0.0,-2.4,0.0,-1.2,0.0,1.2,0.0,-1.2,-1.2,-2.4,0.0,2.4,-3.6,1.2,2.4,1.2,-8.4,-4.8,-1.2,-2.4,0.0,-1.2,-3.6,1.2,-4.8,1.2,2.4,-2.4,-3.6,-2.4,-8.4,-7.2,0.0,0.0,0.0,-1.2,0.0,0.0,-1.2,1.2,1.2,0.0,0.0,-1.2,2.4,1.2,-1.2,0.0,-7.2,0.0,1.2,-1.2,-1.2,0.0,2.4,-1.2,0.0,-2.4,-3.6,-1.2,0.0,0.0,-5.999999999999999,-1.2,0.0,1.2,-5.999999999999999,-2.4,0.0,0.0,0.0,0.0,1.2,1.2,2.4,-2.4,1.2,1.2,2.4,-2.4,-4.8,-2.4,-2.4,1.2,-3.6,-1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,-1.2,-1.2,-4.8,0.0,1.2,0.0,1.2,2.4,1.2,0.0,2.4,2.4,-1.2,1.2,-1.2,1.2,1.2,1.2,-2.4,-4.8,0.0,2.4,-1.2,-1.2,2.4,1.2,0.0,-4.8,-1.2,-2.4,-8.4,0.0,-7.2,0.0,-7.2,1.2,2.4
8,-11.999999999999998,-37.2,-25.2,-5.999999999999999,-2.4,-13.199999999999998,-3.6,-20.4,-3.6,-2.4,-11.999999999999998,-15.6,-4.8,-4.8,-9.6,-13.199999999999998,-10.8,-18.0,-3.6,-10.8,-18.0,-2.4,-8.4,-11.999999999999998,-21.6,-3.6,-16.8,-21.6,-9.6,-9.6,0.0,-24.0,-21.6,-7.2,-16.8,-7.2,-2.4,-5.999999999999999,-3.6,-8.4,-18.0,-16.8,-13.199999999999998,-21.6,-15.6,-18.0,-15.6,-13.199999999999998,-25.2,-10.8,-2.4,-13.199999999999998,-15.6,-34.8,-20.4,-10.8,-9.6,-20.4,-2.4,-3.6,-20.4,-21.6,-2.4,-15.6,-11.999999999999998,-22.8,-16.8,-27.599999999999994,-5.999999999999999,-9.6,-4.8,-16.8,-9.6,-5.999999999999999,-18.0,-3.6,-3.6,-9.6,-8.4,-28.8,-2.4,-7.2,-22.8,-8.4,0.0,-10.8,-37.2,-19.2,-20.4,-18.0,-13.199999999999998,-8.4,-19.2,-3.6,-26.399999999999995,-8.4,-1.2,-22.8,-13.199999999999998,-11.999999999999998,-38.4,-41.99999999999999,-3.6,-3.6,-14.4,-5.999999999999999,-22.8,-1.2,-9.6,-4.8,-8.4,0.0,-7.2,-9.6,-7.2,-7.2,-3.6,-14.4,-15.6,-18.0,-4.8,-19.2,-5.999999999999999,-2.4,-5.999999999999999,-20.4,-18.0,-10.8,-38.4,-8.4,-8.4,-5.999999999999999,-24.0,-11.999999999999998,-15.6,-4.8,-30.0,-13.199999999999998,-4.8,-7.2,-9.6,-7.2,-18.0,-3.6,-3.6,-8.4,-9.6,-2.4,-7.2,-7.2,-26.399999999999995,-27.599999999999994,-11.999999999999998,-7.2,-11.999999999999998,-7.2,-10.8,-11.999999999999998,-5.999999999999999,-1.2,-1.2,-7.2,-19.2,-5.999999999999999,-14.4,-13.199999999999998,-27.599999999999994,-7.2,-1.2,-10.8,-2.4,-2.4,-2.4,-4.8,-20.4,-10.8,-14.4,-5.999999999999999,-11.999999999999998,-2.4,-2.4,-7.2,-19.2,-38.4,-5.999999999999999,-4.8,-1.2,-7.2,0.0,-10.8,-4.8,-20.4,-16.8,-8.4,-33.6,-4.8,-24.0,-1.2,-22.8,-8.4,-4.8
9,-36.0,-56.39999999999999,-62.4,-15.6,-16.8,-27.599999999999994,-10.8,-43.2,-25.2,-18.0,-21.6,-40.8,-7.2,-27.599999999999994,-24.0,-22.8,-38.4,-34.8,-13.199999999999998,-24.0,-49.2,-7.2,-25.2,-32.4,-64.8,-13.199999999999998,-33.6,-58.8,-20.4,-25.2,-4.8,-57.6,-55.19999999999999,-18.0,-45.6,-15.6,-11.999999999999998,-13.199999999999998,-9.6,-22.8,-45.6,-52.79999999999999,-13.199999999999998,-49.2,-38.4,-21.6,-30.0,-16.8,-62.4,-25.2,-8.4,-24.0,-44.39999999999999,-52.79999999999999,-45.6,-19.2,-15.6,-41.99999999999999,-9.6,-9.6,-46.8,-31.2,-5.999999999999999,-38.4,-33.6,-36.0,-32.4,-68.39999999999999,-25.2,-21.6,-24.0,-31.2,-19.2,-31.2,-41.99999999999999,-10.8,-9.6,-22.8,-19.2,-63.59999999999999,-13.199999999999998,-24.0,-51.6,-19.2,-4.8,-38.4,-60.0,-43.2,-60.0,-33.6,-28.8,-11.999999999999998,-28.8,-19.2,-43.2,-31.2,-9.6,-57.6,-27.599999999999994,-27.599999999999994,-64.8,-75.59999999999998,-11.999999999999998,-11.999999999999998,-34.8,-13.199999999999998,-78.0,-5.999999999999999,-26.399999999999995,-13.199999999999998,-27.599999999999994,-10.8,-11.999999999999998,-47.99999999999999,-26.399999999999995,-16.8,-9.6,-26.399999999999995,-15.6,-47.99999999999999,-8.4,-39.6,-13.199999999999998,-13.199999999999998,-8.4,-40.8,-44.39999999999999,-24.0,-94.8,-15.6,-10.8,-9.6,-43.2,-19.2,-28.8,-20.4,-52.79999999999999,-26.399999999999995,-10.8,-15.6,-32.4,-20.4,-37.2,-9.6,-16.8,-28.8,-25.2,-8.4,-20.4,-13.199999999999998,-43.2,-74.39999999999999,-25.2,-24.0,-20.4,-24.0,-34.8,-33.6,-14.4,-7.2,-8.4,-9.6,-36.0,-20.4,-46.8,-22.8,-52.79999999999999,-15.6,-8.4,-24.0,-10.8,-9.6,-7.2,-8.4,-47.99999999999999,-43.2,-26.399999999999995,-8.4,-18.0,-11.999999999999998,-16.8,-10.8,-33.6,-80.4,-14.4,-21.6,-9.6,-15.6,-11.999999999999998,-27.599999999999994,-22.8,-38.4,-39.6,-16.8,-46.8,-8.4,-36.0,-9.6,-34.8,-25.2,-8.4
